,,,,,,,,,,,,,
,,,,,,,,,,,,,
loss function,,weighted fidelity chi,,,,,,values,,,,,
,type measurement,,1 qubit,2 qubits,,3 qubits,,1 qubit ,2 qubits,,3 qubits,,
dataset,,layers,,n,y,n,y,,n,y,n,y,
circle,acc train,1,0.555,0.76,0.76,0.765,0.765,0.24282,0.15614,0.15615,0.15588,0.15588,Overall Train Accuracy: 0.91625
,acc test,,0.50325,0.75875,0.75875,0.757,0.75725,,,,,,Overall Test Accuracy: 0.89539
,acc train,2,0.945,0.985,0.99,0.98,0.975,0.08846,0.06123,0.06251,0.06188,0.03775,
,acc test,,0.935,0.96175,0.96775,0.96025,0.96225,,,,,,
,acc train,4,0.975,0.99,0.985,0.985,0.985,0.06739,0.03495,0.03238,0.05964,0.03152,
,acc test,,0.9445,0.96525,0.9625,0.95125,0.95925,,,,,,
,acc train,8,0.99,0.965,0.99,0.99,0.99,0.02900,0.06201,0.02103,0.03956,0.02898,
,acc test,,0.97025,0.952,0.9675,0.9585,0.9565,,,,,,
,acc train,12,0.985,-,-,-,-,0.03165,-,-,-,-,
,acc test,,0.951,-,-,-,-,,,-,-,-,
,acc train,16,0.995,-,-,-,-,0.03182,-,-,-,-,
,acc test,,0.96,-,-,-,-,,,-,-,-,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
loss function,,weighted fidelity chi,,,,,,values,,,,,
,type measurement,,1 qubit,2 qubits,,3 qubits,,1 qubit ,2 qubits,,3 qubits,,
dataset,,layers,,n,y,n,y,,n,y,n,y,
diamond,acc train,1,0.58,0.58,0.58,0.705,0.605,0.24090,0.23786,0.23786,0.21359,0.23549,Overall Train Accuracy: 0.7390
,acc test,,0.52275,0.51775,0.51775,0.58025,0.53425,,,,,,Overall Test Accuracy: 0.6307
,acc train,2,0.585, 0.64,0.765,0.715,0.755,0.23533,0.21718,0.15856,0.19137,0.18381,
,acc test,,0.51875,0.55725,0.74275,0.5715,0.591,,,,,,
,acc train,4,0.82,0.825,0.865,0.79,0.83,0.12497,0.14455,0.11934,0.17008,0.12980,
,acc test,,0.74375,0.73825,0.73475,0.6035,0.668,,,,,,
,acc train,8,0.875,0.81,0.84,0.775,0.84,0.11376,0.14669,0.12945,0.17012,0.12924,
,acc test,,0.71625,0.739,0.71075,0.60825,0.69675,,,,,,
,acc train,12,0.835,-,-,-,-,0.15147,-,-,-,-,
,acc test,,0.6815,-,-,-,-,,,-,-,-,
,acc train,16,0.83,-,-,-,-,0.11647,-,-,-,-,
,acc test,,0.66775,-,-,-,-,,,-,-,-,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
loss function,,weighted fidelity chi,,,,,,values,,,,,
,type measurement,,1 qubit,2 qubits,,3 qubits,,1 qubit ,2 qubits,,3 qubits,,
dataset,,layers,,n,y,n,y,,n,y,n,y,
wavy lines,acc train,1,0.785,0.825,0.825,0.93,0.93,0.09072,0.07443,0.07443,0.05243,0.05243,Overall Train Accuracy: 0.92875
,acc test,,0.757,0.754,0.7545,0.87525,0.87525,,,,,,Overall Test Accuracy: 0.88225
,acc train,2,0.91,0.935,0.925,0.95,0.96,0.07398,0.04288,0.04636,0.03177,0.02930,
,acc test,,0.841,0.8885,0.87975,0.9075,0.90775,,,,,,
,acc train,4,0.945,0.96,0.955,0.965,0.965,0.05596,0.03583,0.02764,0.02228,0.02128,
,acc test,,0.875,0.90375,0.93175,0.9305,0.93775,,,,,,
,acc train,8,0.965,0.965,0.965,0.955,0.96,0.03269,0.02341,0.01746,0.02302,0.01869,
,acc test,,0.915,0.92525, 0.92625,0.92625,0.933,,,,,,
,acc train,12,0.97,-,-,-,-,0.02884,-,-,-,-,
,acc test,,0.936,-,-,-,-,,,-,-,-,
,acc train,16,0.955,-,-,-,-,0.03197,-,-,-,-,
,acc test,,0.9,-,-,-,-,,,-,-,-,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASSICAL RESULTS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DATASET,measurements,logistic regression,random forest,svm,XGB,,,,,,,,
circle,accuracy, 0.6170, 0.9317,0.9607,0.9220,Overall accuracy: 0.85785,,,,,,,
diamond,accuracy,0.5465 ,0.7865 ,0.5597,0.8113,Overall accuracy: 0.6760,,,,,,,
wavy lines,accuracy,0.8552,0.9297,0.9020,0.9203 ,Overall accuracy: 0.9018,,,,,,,
IRIS,accuracy,1.0,1.0,1.0,1.0,,,,,,,,
